outbreak,date,naive_frequentist,naive_frequentist_lower,naive_frequentist_upper,naive_bayes_own_data,naive_bayes_own_data_lower,naive_bayes_own_data_upper,naive_bayes_historical,naive_bayes_historical_lower,naive_bayes_historical_upper,resolved_frequentist,resolved_frequentist_lower,resolved_frequentist_upper,resolved_bayes_own_data,resolved_bayes_own_data_lower,resolved_bayes_own_data_upper,resolved_bayes_historical,resolved_bayes_historical_lower,resolved_bayes_historical_upper,delay_adjusted_bayes_historical,delay_adjusted_bayes_historical_lower,delay_adjusted_bayes_historical_upper,delay_adjusted_bayes_own_data,delay_adjusted_bayes_own_data_lower,delay_adjusted_bayes_own_data_upper,delay_adjusted_frequentist,delay_adjusted_frequentist_lower,delay_adjusted_frequentist_upper
Uganda2022,2022-09-11,0.0,0.0,0.975,0.2928932188134526,0.01257911709342505,0.841886116991581,0.5470611149641993,0.18342320028187659,0.8293115488901215,,,,,,,,,,0.49168206235958173,0.023174505799027755,0.977183901138962,,,,,,
Uganda2022,2022-09-12,0.0,0.0,0.975,0.2928932188134526,0.01257911709342505,0.841886116991581,0.5470611149641993,0.18342320028187659,0.8293115488901215,,,,,,,,,,0.44688605122965364,0.021765002503271413,0.9610670212206793,,,,,,
Uganda2022,2022-09-13,0.0,0.0,0.975,0.2928932188134526,0.01257911709342505,0.841886116991581,0.5470611149641993,0.18342320028187659,0.8293115488901215,,,,,,,,,,0.42451374995573626,0.021295903348950734,0.9531556156441612,,,,,,
Uganda2022,2022-09-14,0.0,0.0,0.975,0.2928932188134526,0.01257911709342505,0.841886116991581,0.5470611149641993,0.18342320028187659,0.8293115488901215,,,,,,,,,,0.4073662036049544,0.02011322309868798,0.9425274514553256,,,,,,
Uganda2022,2022-09-15,0.0,0.0,0.975,0.2928932188134526,0.01257911709342505,0.841886116991581,0.5470611149641993,0.18342320028187659,0.8293115488901215,,,,,,,,,,0.39229871452470844,0.01929209467494711,0.9403515681752503,,,,,,
Uganda2022,2022-09-16,0.0,0.0,0.975,0.2928932188134526,0.01257911709342505,0.841886116991581,0.5470611149641993,0.18342320028187659,0.8293115488901215,,,,,,,,,,0.3795476081803245,0.019522236966627995,0.9267539118710094,,,,,,
Uganda2022,2022-09-17,0.0,0.0,0.975,0.2928932188134526,0.01257911709342505,0.841886116991581,0.5470611149641993,0.18342320028187659,0.8293115488901215,,,,,,,,,,0.36626708062304564,0.018498002495268624,0.9161149261230528,,,,,,
Uganda2022,2022-09-18,0.0,0.0,0.841886116991581,0.20629947401590035,0.008403758659612636,0.7075982261787133,0.49292463646315615,0.14080471365456632,0.7670205245333679,,,,,,,,,,0.36130677387719395,0.01736222147743428,0.9072269649415219,,,,,,
Uganda2022,2022-09-19,0.5,0.01257911709342505,0.9874208829065749,0.5,0.09429932405024609,0.9057006759497539,0.5908620705325782,0.2665169796912456,0.8486856265257505,1.0,0.025,1.0,0.7071067811865475,0.15811388300841897,0.9874208829065749,0.801048989465803,0.2722702809980995,0.998819700469444,0.7081615361773854,0.16210946862355674,0.9845643247522031,0.68026223268038,0.15132298167822023,0.9825496621684274,,,
Uganda2022,2022-09-20,0.5,0.01257911709342505,0.9874208829065749,0.5,0.09429932405024609,0.9057006759497539,0.5908620705325782,0.2665169796912456,0.8486856265257505,1.0,0.025,1.0,0.7071067811865475,0.15811388300841897,0.9874208829065749,0.801048989465803,0.2722702809980995,0.998819700469444,0.7018515295734307,0.1591168134865987,0.9849025621088873,0.6714509708685832,0.14716167966830598,0.9813158588458639,,,
