age,cif_death,cif_recovery,kaplan_meier_ghani,horizon,cif_death_lower_ci,cif_death_upper_ci,cif_recovery_lower_ci,cif_recovery_upper_ci,kaplan_meier_ghani_lower_ci,kaplan_meier_ghani_upper_ci
0.16,0.8851619565255672,0.10690534390712118,0.8922398270152695,70.0,0.3123581932322288,0.9996670054089692,0.00013853911338438708,0.6030207773842708,0.3817461340449247,0.9998599974799205
0.8755555555555556,0.8734242816505646,0.11625523362766854,0.8825324442579928,70.0,0.3417117733257763,0.9991610479069188,0.0002468337336704405,0.5762882706220872,0.4222279348588056,0.9997500948413971
1.5911111111111111,0.8609886056629839,0.12595103920381845,0.872382227364251,70.0,0.37502825192509776,0.9981627096462551,0.00042738490064371927,0.5400536648083637,0.4449083925614316,0.9995663932035189
2.306666666666667,0.8479974835744678,0.13587032980492744,0.8619018449864325,70.0,0.4011404466074004,0.996156310793784,0.0007193110546895394,0.5136253673493945,0.45502572797708507,0.9992685176380901
3.0222222222222226,0.8346027760989562,0.14588954605171728,0.8512078649104422,70.0,0.4127236088507928,0.9931979490822134,0.0011811228578936903,0.5053412767715669,0.46510960582278826,0.9987957014486749
3.737777777777778,0.8209579793637755,0.15588941291543573,0.8404157966253976,70.0,0.4241091783763745,0.9896188618485006,0.001886726833996334,0.5235154184316816,0.46166287262454714,0.9980705986906848
4.453333333333334,0.8072120122401732,0.16575901023529618,0.829636231289226,70.0,0.4118396224764302,0.9822841151723597,0.002932599938007589,0.5318569018624157,0.4587091968967185,0.9969911415206375
5.1688888888888895,0.7935045780163271,0.17539852580264864,0.8189720673705067,70.0,0.4187706127624349,0.9741028836215047,0.004436641212232245,0.5369591273827388,0.443144930395128,0.9954311764817123
5.884444444444445,0.7799630231137401,0.18472083859967933,0.8085167110895914,70.0,0.4254984813306775,0.9681428280392901,0.006523060831401829,0.5269478943361917,0.45439690209209355,0.9932673896795765
6.6000000000000005,0.7667005015530735,0.19365214044793735,0.7983530924177605,70.0,0.4162795873612219,0.9626244772035152,0.009302162721063548,0.5017338599150674,0.48108824102021575,0.9903329144431027
7.315555555555556,0.7538152027625077,0.20213182000231458,0.7885533244115327,70.0,0.40593409034210043,0.9560427958828923,0.012617444332005175,0.5027490647989294,0.4749583210091705,0.9864294370267218
8.03111111111111,0.741390392930008,0.21011182003670717,0.7791788424941297,70.0,0.39358559232155477,0.945099515113379,0.01677491233546061,0.48876026612116974,0.46732157625964327,0.9814844931992472
8.746666666666668,0.7294950394991626,0.21755565049638995,0.7702808806385943,70.0,0.38349742585898566,0.932496220306897,0.0235559939685875,0.47376591228163367,0.46205057695626905,0.9753379755791387
9.462222222222223,0.7181848215469768,0.22443720528096386,0.761901166222237,70.0,0.37699205650247714,0.9248552724285252,0.03054814778029485,0.4581880601449571,0.46044649967693846,0.9679277459016605
10.177777777777779,0.7075033666177897,0.2307394962236426,0.7540727402659296,70.0,0.38445041056955026,0.9145090408282087,0.033284851065267726,0.4663168168760345,0.4579227517274632,0.9664761818699588
10.893333333333334,0.6974835914772697,0.23645338665183363,0.7468208324661202,70.0,0.3686790270048892,0.8990126326401034,0.04147152203422552,0.4551308442347706,0.45899469248113073,0.9580443593585064
11.60888888888889,0.68814905711461,0.24157638079059396,0.7401637398080686,70.0,0.36186121549084144,0.8863831976966532,0.04407237258144662,0.45912210097117234,0.4621116668941767,0.9552327372347007
12.324444444444445,0.6795152758415012,0.2461115044517174,0.7341136733600614,70.0,0.35961965805564455,0.8773260292111404,0.04884239974033587,0.47957083002066164,0.4674011415563904,0.9475420348421598
13.040000000000001,0.6715909303025107,0.25006629659916346,0.7286775502864457,70.0,0.3584235376150812,0.8623943962078017,0.05131926418854787,0.47464644056285316,0.48214063888733544,0.9424035113733691
13.755555555555556,0.6643789810373542,0.25345191982473225,0.7238577175962656,70.0,0.35825675247604616,0.8623069969807463,0.061181996285131546,0.468548109973512,0.48313961359391916,0.9301166652121964
14.471111111111112,0.6578776516322055,0.2562823897246826,0.7196526011525481,70.0,0.3593074616551553,0.8546157588050753,0.06756293022884743,0.48059223659217754,0.47492064668768497,0.9217268754643807
15.186666666666667,0.6520812892659967,0.2585739178763717,0.7160572784865796,70.0,0.36143119596224516,0.8495298969579737,0.0690902599676811,0.48635050436801935,0.47348980547611885,0.912693823256896
15.902222222222223,0.6469811043712508,0.26034435989761956,0.7130639774257774,70.0,0.3646020312730957,0.8449251336492357,0.07031277906689039,0.47774393904181234,0.4701095666544339,0.9111114350787419
16.61777777777778,0.6425657968714859,0.26161275836531833,0.7106625048226209,70.0,0.36684602748388734,0.8401640221389728,0.07167781613447638,0.4646541437728617,0.45490892516963105,0.9095163928155747
17.333333333333336,0.6388220786014892,0.262398969722321,0.7088406110683284,70.0,0.36453041640021394,0.8367173120264663,0.07586811307746974,0.46187233817875756,0.457797888875529,0.9078479029032214
18.04888888888889,0.6357351025229889,0.2627233643646133,0.7075842968292934,70.0,0.3622667335095669,0.8331852894171421,0.08126086958029802,0.4552756293820282,0.4659356521840324,0.9070744687765794
18.764444444444447,0.6332888095743202,0.262606589613964,0.7068780687434094,70.0,0.3649613797408842,0.82959470266019,0.08107832688540445,0.4364101752892303,0.46830349352811235,0.9070767444044902
19.48,0.6314662037089478,0.26206938605588187,0.706705150798911,70.0,0.3684023546895517,0.825908069261646,0.0835940595001755,0.4550026862254826,0.46756144276312156,0.9033278795653805
20.195555555555558,0.6302495650828331,0.26113244862596463,0.7070476578953353,70.0,0.3693314699935157,0.8222041240941629,0.08823452731438793,0.4407407162657563,0.47875606212501975,0.8994301593998714
20.91111111111111,0.629620610586821,0.2598163247695761,0.707886737730913,70.0,0.37127255660028635,0.8147333120463534,0.09314151937357763,0.42292699423624713,0.49487664213759464,0.8894247087824291
21.62666666666667,0.6295606100858108,0.25814134292178187,0.7092026867270236,70.0,0.3806298590731223,0.8065064772955234,0.09421472193774132,0.4230607203922032,0.5042082476588785,0.889110354006403
22.342222222222222,0.6300504658871336,0.25612756542124815,0.7109750452252882,70.0,0.39341984512297296,0.7980195883388693,0.09640163341275063,0.4209883162947984,0.5151928475821027,0.8886379829269937
23.05777777777778,0.6310707621574428,0.25379476076414736,0.7131826767007661,70.0,0.407483153222647,0.7901375038592352,0.09711326212810113,0.40831877726791527,0.5264369994152145,0.8882095467849586
23.773333333333337,0.6326017902643899,0.25116239081406233,0.7158038352407875,70.0,0.4227419725025973,0.7846928590365453,0.10347286239964455,0.4056588607794561,0.5334682735440229,0.8871319787466897
24.48888888888889,0.6346235553476102,0.24824960921085568,0.718816225051978,70.0,0.43722337363340963,0.7794482251913334,0.10917011933109885,0.40092377307820065,0.5421695141431255,0.8861654713857257
