age,ref_age,hazard_ratio,hr_lower_ci,hr_upper_ci
1.0,30.0,2.27037493313384,1.3418452366378466,3.8414283527345967
1.6464646464646466,30.0,2.196720882648172,1.3242236705379002,3.644084261310938
2.2929292929292933,30.0,2.1268816014340803,1.307184955253225,3.460585534081893
2.9393939393939394,30.0,2.0606436288693852,1.2907134880582376,3.289848757672853
3.585858585858586,30.0,1.997807353497531,1.2747943586568231,3.130884753752865
4.232323232323233,30.0,1.9381860544819534,1.2594133301422739,2.9827897576437024
4.878787878787879,30.0,1.8816050151739285,1.2445568215765417,2.8447374774281755
5.525252525252526,30.0,1.8279007030808276,1.2302118921985774,2.715971940697232
6.171717171717172,30.0,1.7769200110012682,1.2163662272806466,2.5958010463309624
6.818181818181818,30.0,1.728519554531187,1.203008125661162,2.483590747780392
7.464646464646465,30.0,1.6825650215442838,1.1901264889928547,2.378759802346785
8.11111111111111,30.0,1.6389305696150167,1.1777108127560296,2.280775028067136
8.757575757575758,30.0,1.597498267685557,1.1657511790982689,2.1891470161174333
9.404040404040405,30.0,1.5581575785826713,1.1542382515742549,2.103426252234567
10.050505050505052,30.0,1.5208048792689843,1.1431632718723932,2.023199605617249
10.696969696969697,30.0,1.4853430159678227,1.1325180586285688,1.948087148169677
11.343434343434344,30.0,1.451680891533995,1.1222950084415813,1.8777392708635838
11.989898989898991,30.0,1.4197330826563284,1.1124870992194384,1.8118340674719633
12.636363636363637,30.0,1.3894194846733343,1.103087896000509,1.7500749590212379
13.282828282828284,30.0,1.360664981962591,1.094091559408237,1.692188535062488
13.92929292929293,30.0,1.33339914202876,1.0854928569122575,1.63792259031581
14.575757575757576,30.0,1.3075559315659162,1.0772871770817345,1.5870443374297165
15.222222222222223,30.0,1.2830734529082402,1.0694705470278283,1.5393387785508008
15.86868686868687,30.0,1.2598936994102272,1.0620396532403753,1.4946072201452174
16.515151515151516,30.0,1.2379623284143402,1.0549918660279638,1.4526659170777272
17.161616161616163,30.0,1.217228450571437,1.0483252677691046,1.4133448333584153
17.80808080808081,30.0,1.1976444343781103,1.0420386851734054,1.3764865082318642
18.454545454545457,30.0,1.1791657248860652,1.0361317257334937,1.3419450174269798
19.101010101010104,30.0,1.1617506756224996,1.0306048185186794,1.3095850204244621
19.747474747474747,30.0,1.145360392837772,1.0254592594175382,1.2792808855484201
20.393939393939394,30.0,1.129958591268019,1.0206972608762805,1.2509158855626326
21.04040404040404,30.0,1.1155114606663117,1.0163220061006455,1.2243814572629255
21.68686868686869,30.0,1.1019875424169483,1.0123377075893827,1.1995765193157384
22.333333333333336,30.0,1.0893576156039408,1.0087496697461347,1.1764068433082633
22.979797979797983,30.0,1.0775945919571264,1.005564355174325,1.1547844736540385
23.62626262626263,30.0,1.0666734191479468,1.002789454098911,1.1346271926435163
24.272727272727273,30.0,1.0565709919521549,1.000433956184812,1.1158580275423367
24.91919191919192,30.0,1.047266070838816,0.998508223843058,1.0984047972173312
25.565656565656568,30.0,1.0387392075842914,0.9970240659444515,1.082199696303977
26.212121212121215,30.0,1.030972677546647,0.9959948107135297,1.0671789154064355
26.85858585858586,30.0,1.0239504182704096,0.9954353764725901,1.0532822962265067
27.50505050505051,30.0,1.0176579741239906,0.9953623388701517,1.0404530208302827
28.151515151515152,30.0,1.0120824467026504,0.9957939932835376,1.028637334461171
28.7979797979798,30.0,1.0072124507587563,0.9967504112543394,1.0177843013747176
29.444444444444446,30.0,1.003038075448524,0.9982534901141119,1.0078455930912615
30.090909090909093,30.0,0.9995508507105334,0.9987753082308126,1.0003269953939058
30.73737373737374,30.0,0.996743718616318,0.9905298227192137,1.0029965961789253
31.383838383838388,30.0,0.9946110095573311,0.9830676686582974,1.006289894247865
32.03030303030303,30.0,0.9931484231557862,0.9763494395773223,1.0102364485852822
32.67676767676768,30.0,0.9923530138093681,0.9703377191797831,1.0148677976250864
33.323232323232325,30.0,0.9922231808017771,0.9649970301366616,1.020217482307662
33.969696969696976,30.0,0.99275866293261,0.960293799018872,1.0263210736492268
34.61616161616162,30.0,0.9939605376413523,0.9561963331685329,1.0332162089709196
35.26262626262626,30.0,0.9958312246213645,0.9526748052249356,1.0409426411741218
35.909090909090914,30.0,0.9983744939408411,0.9497012411680629,1.049542305457766
36.55555555555556,30.0,1.0015954787089048,0.9472495081143578,1.0590594076603188
37.20202020202021,30.0,1.005500692346427,0.945295298665398,1.0695405380060123
37.84848484848485,30.0,1.0100980505429444,0.9438161093176511,1.0810348134959253
38.494949494949495,30.0,1.015396898003319,0.9427912112258153,1.0935940515760834
39.141414141414145,30.0,1.0214080401106889,0.9422016124052114,1.1072729771068137
39.78787878787879,30.0,1.0281437796559438,0.9420300111980073,1.122129464114302
40.43434343434344,30.0,1.0356179588085346,0.9422607414646196,1.1382248133777593
41.08080808080808,30.0,1.0438460065291,0.9428797104632629,1.1556240666281723
41.727272727272734,30.0,1.0528449916512814,0.9438743307332259,1.1743963580237307
42.37373737373738,30.0,1.0626336818883908,0.9452334475031337,1.1946153036231129
43.02020202020202,30.0,1.0732326090504776,0.946947263218908,1.216359429789095
43.66666666666667,30.0,1.0846641407889897,0.9490072607503395,1.239712641801404
44.313131313131315,30.0,1.0969525592198686,0.951406126716892,1.264764734416183
44.959595959595966,30.0,1.1101241468117518,0.954137676199604,1.291611946656542
45.60606060606061,30.0,1.1242072799642513,0.9571967799012664,1.3203575637341618
46.25252525252526,30.0,1.1392325307422573,0.9605792946018397,1.3511125696701256
46.8989898989899,30.0,1.1552327772761826,0.9642819975461168,1.3839963548934933
47.54545454545455,30.0,1.1722433233853264,0.9683025252067898,1.4191374838437105
48.1919191919192,30.0,1.1903020280323706,0.9726393166951597,1.4566745283874099
48.83838383838384,30.0,1.2094494452718716,0.9772915619470207,1.4967569736857456
49.48484848484849,30.0,1.2297289754147733,0.9822591546933157,1.5395462040227283
50.131313131313135,30.0,1.2511870281949231,0.9875426501329133,1.585216577038518
50.77777777777778,30.0,1.2738731987927714,0.9931432271558102,1.6339565958173128
51.42424242424243,30.0,1.2978404576463607,0.9990626549163194,1.685970189371955
52.07070707070707,30.0,1.323145355060936,1.005303263524062,1.7414781132633088
52.71717171717172,30.0,1.3498482417166342,1.0118679186027881,1.8007194834099254
53.36363636363637,30.0,1.378013506269367,1.0187599994601928,1.86395345760235
54.01010101010102,30.0,1.40770983134398,1.0259833806134917,1.9314610808584065
54.65656565656566,30.0,1.4390104693317722,1.0335424164232927,2.0035473125646353
