date,n,naive,naive_lower,naive_upper,resolved,resolved_lower,resolved_upper,delay_adjusted,delay_adjusted_lower,delay_adjusted_upper,competing_risks,competing_risks_lower,competing_risks_upper,kaplan_meier_ghani,kaplan_meier_ghani_upper,kaplan_meier_ghani_lower,parametric_mixture,parametric_mixture_lower,parametric_mixture_upper,parametric_mixture_success,has_recovery_data
2014-05-31,1,0.0,0.0,0.975,,,,,,,,,,,,,,,,False,False
2014-06-01,1,0.0,0.0,0.975,,,,0.0001,0.0001,0.9999,,,,,,,,,,False,False
2014-06-02,2,0.0,0.0,0.841886116991581,,,,0.0001,0.0001,0.9999,,,,,,,,,,False,False
2014-06-03,2,0.0,0.0,0.841886116991581,,,,0.0001,0.0001,0.8534,,,,,,,,,,False,False
2014-06-04,7,0.0,0.0,0.4096163972250034,,,,0.0001,0.0001,0.8534,,,,,,,,,,False,False
2014-06-05,9,0.1111111111111111,0.002809136746599214,0.48249651491733697,,,,0.5,0.038200000000000005,0.9618000000000001,,,,,,,,,,False,False
2014-06-06,9,0.3333333333333333,0.07485463141969183,0.7007049437914596,,,,0.75,0.2777,0.9837,,,,,,,,,,False,False
2014-06-07,9,0.5555555555555556,0.212008506778868,0.8630043377348335,,,,,,,,,,,,,,,,False,False
2014-06-08,9,0.5555555555555556,0.212008506778868,0.8630043377348335,,,,0.8333,0.4465,0.9896,,,,,,,,,,False,False
2014-06-09,9,0.5555555555555556,0.212008506778868,0.8630043377348335,,,,0.8333,0.4465,0.9896,,,,,,,,,,False,False
2014-06-10,9,0.5555555555555556,0.212008506778868,0.8630043377348335,,,,0.7143,0.3503,0.9457000000000001,,,,,,,,,,False,False
2014-06-11,11,0.5454545454545454,0.23379359765934515,0.8325119059362929,,,,0.8571000000000001,0.5062,0.9912000000000001,,,,,,,,,,False,False
2014-06-12,11,0.6363636363636364,0.30790471501167715,0.8907365561809019,,,,0.875,0.5548000000000001,0.9924000000000001,,,,,,,,,,False,False
2014-06-13,15,0.4666666666666667,0.21266672951930787,0.7341386527226034,,,,0.7778,0.45840000000000003,0.9591000000000001,,,,,,,,,,False,False
2014-06-14,23,0.30434782608695654,0.13210287969809986,0.5291916660085065,0.875,0.47349032912479344,0.9968402764687481,0.7000000000000001,0.3936,0.9154,0.6725925925925925,0.3449761095396844,0.8890491820299333,0.8747591522157996,0.9712000440647129,0.5912804577859007,0.7052904034689775,0.38497472706640695,0.9998584486511819,True,True
2014-06-15,26,0.3076923076923077,0.14325999792770355,0.5178964364457416,0.8,0.4439045376923585,0.9747892736731666,0.6154000000000001,0.3481,0.8410000000000001,0.6224916387959867,0.3262435989432859,0.8488358183010614,0.7975361542581683,0.9277946262410752,0.5470195924515264,0.6512880248579801,0.3633998870946153,0.9906237280746153,True,True
2014-06-16,34,0.29411764705882354,0.15098366442302852,0.47478106034048584,0.8333333333333334,0.5158622513140328,0.9791374745399076,0.625,0.3824,0.8304,0.6402068519715578,0.33662593856713785,0.8618678113895326,0.8483083511777302,0.9528182715076072,0.6076324693391921,0.8458208701376232,0.5911330252826617,0.9729874592077131,True,True
2014-06-17,35,0.34285714285714286,0.19132410218826576,0.5221099833935212,0.8,0.5191088661931469,0.9566879948941633,0.6,0.383,0.7928000000000001,0.5946052659096137,0.3213200093500848,0.8196214997116603,0.7617282984818073,0.9104729083802227,0.5012334327043017,0.7742593531317372,0.5046080302134045,0.9419629039012036,True,True
2014-06-18,38,0.3157894736842105,0.1750253389011268,0.4865270544060217,0.8,0.5191088661931469,0.9566879948941633,0.5217,0.3236,0.7153,0.5586417953846933,0.2817383809117588,0.8033173466674535,0.7433705009899797,0.9072576445284285,0.46170542789390406,0.8074076554403226,0.4752867053562749,0.9539572200147285,True,True
2014-06-19,42,0.35714285714285715,0.21550774142578752,0.5197394416145378,0.8333333333333334,0.5858225086052259,0.9642149168784253,0.5769000000000001,0.3866,0.7528,0.6278370807782572,0.35142117318549054,0.8400628935669068,0.821334838716067,0.937863284752741,0.5833565359958053,0.8602170287379765,0.5404133422941854,0.9664864207840729,True,True
2014-06-20,43,0.4186046511627907,0.27011412270455787,0.5787304034792482,0.8181818181818182,0.5971542169221287,0.9481327006875631,0.6207,0.4395,0.7814,0.6591718661372661,0.4159257852198717,0.8400678663489531,0.7886767913175349,0.892998074610398,0.6253216138274177,0.8239359413967238,0.5884203167036188,0.9451590068139022,True,True
2014-06-21,43,0.5348837209302325,0.3765472601100756,0.6882381209776504,0.8518518518518519,0.6626891359757556,0.9581126035262327,0.7187,0.5503,0.8535,0.7086335422316935,0.4923583393267592,0.8591299694362161,0.8518561061560469,0.9314152346510467,0.708855579513916,0.8603963027917428,0.6910878890842557,0.9554990578253334,True,True
2014-06-22,43,0.6046511627906976,0.4440995244656957,0.7502322113524089,0.8387096774193549,0.6627284150268207,0.9454756737849165,0.7647,0.6062000000000001,0.8847,0.7004690000941531,0.5298174538491849,0.8291553518512097,0.8370007594082242,0.916585298873162,0.705853196596745,0.8500218293577881,0.6990571110163288,0.9440225453407486,True,True
2014-06-23,43,0.6976744186046512,0.5387466942659677,0.8281750075147865,0.8571428571428571,0.6974286483090485,0.9519392215963611,0.8571000000000001,0.7178,0.9462,0.7528832463217845,0.5923243727015245,0.8646564524206812,0.8566394859056053,0.9276044035934151,0.735916121314117,0.86850905989247,0.7369276686979652,0.9508727636314461,True,True
2014-06-24,43,0.7209302325581395,0.5633130385340941,0.8467107671058404,0.8157894736842105,0.6567380056890788,0.9225731481611512,0.8378,0.6984,0.9321,0.7482900136798906,0.5934312235591621,0.8582533311499175,0.8115727002967359,0.8916778606672359,0.6926479581344683,0.8256592905496821,0.6897155911454622,0.9211054064052547,True,True
2014-06-25,43,0.7209302325581395,0.5633130385340941,0.8467107671058404,0.8157894736842105,0.6567380056890788,0.9225731481611512,0.8158000000000001,0.6742,0.9162,0.7519379844961239,0.5976100281612428,0.8608578637707465,0.8164983164983165,0.8945838540200532,0.699970877757703,0.8278905677728717,0.6929727703455367,0.9222409383797179,True,True
2014-06-26,43,0.7441860465116279,0.5882842789151403,0.8648140497114691,0.8205128205128205,0.6646504388730692,0.924649522683347,0.8205,0.6818000000000001,0.9185000000000001,0.7558139534883722,0.6039391078885632,0.8626911824789067,0.8201892744479495,0.8973203703073171,0.7042172187461752,0.8334855475581165,0.7023983007169143,0.9248444649223699,True,True
2014-06-27,43,0.7674418604651163,0.6136917881604167,0.8824464288912982,0.8048780487804879,0.6513345325486204,0.9117938983371487,0.8462000000000001,0.7126,0.9357000000000001,0.7674418604651163,0.6192637166677357,0.8700522345527275,0.8048780487804877,0.8821045454916656,0.6945800516512686,0.8138477052847307,0.6811052364525949,0.9102498315913394,True,True
