age,ref_age,cfr,odds_ratio,or_lower_ci,or_upper_ci,risk_ratio,rr_lower_ci,rr_upper_ci,cutoff,frac,days_since_start,n,n_deaths
0.16,37.0,0.6725800975787796,0.3000771208302027,0.11950439481893355,0.7534976314651628,0.7708313191998453,0.5766763802631389,1.0303541864992762,1995-06-12 06:00:00,0.85,157,239,207
1.360677966101695,37.0,0.6811602330840371,0.31208345801891985,0.12807179553265316,0.7604803568496454,0.7806648500971172,0.5939423663814792,1.0260887969485626,1995-06-12 06:00:00,0.85,157,239,207
2.5613559322033903,37.0,0.6896192845467958,0.32457017882465644,0.13725340256991986,0.7675277917325514,0.790359608865167,0.6111528672559581,1.022114670148281,1995-06-12 06:00:00,0.85,157,239,207
3.762033898305085,37.0,0.6979534277952277,0.33755650379868224,0.14709324905355453,0.774640535782198,0.7999112126930469,0.6282816786840205,1.018425285824485,1995-06-12 06:00:00,0.85,157,239,207
4.9627118644067805,37.0,0.7061591400301658,0.3510624225226383,0.15763852488909316,0.7818191942240802,0.8093156241673111,0.6453032769643435,1.0150138747203605,1995-06-12 06:00:00,0.85,157,239,207
6.163389830508476,37.0,0.7142332006751819,0.36510872437808606,0.16893980307799,0.7890643778923672,0.8185691522462748,0.6621929444484524,1.0118734465938493,1995-06-12 06:00:00,0.85,157,239,207
7.36406779661017,37.0,0.7221726909048638,0.37971703054717293,0.18105128225546302,0.7963767032818795,0.8276684517193804,0.6789268849134075,1.0089968171741026,1995-06-12 06:00:00,0.85,157,239,207
8.564745762711865,37.0,0.7299749919115419,0.3949098272936715,0.1940310466161421,0.8037567926005464,0.8366105212207271,0.6954823279204837,1.0063766340548053,1995-06-12 06:00:00,0.85,157,239,207
9.76542372881356,37.0,0.7376377819776171,0.4107105005756202,0.20794134447407103,0.8112052738223506,0.84539269987372,0.7118376215149941,1.004005401510973,1995-06-12 06:00:00,0.85,157,239,207
10.966101694915256,37.0,0.745159032426478,0.42714337204284536,0.22284888679298104,0.8187227807407614,0.8540126626504936,0.7279723128130001,1.001875504233272,1995-06-12 06:00:00,0.85,157,239,207
12.166779661016951,37.0,0.7525370025297502,0.44423373647477404,0.23882516711852542,0.8263099530226655,0.8624684145352068,0.7438672162076126,0.999979229980294,1995-06-12 06:00:00,0.85,157,239,207
13.367457627118647,37.0,0.7597702334523193,0.4620079007161654,0.25594680444680634,0.8339674362627955,0.8707582835845478,0.7595044691073568,0.9983087911546344,1995-06-12 06:00:00,0.85,157,239,207
14.56813559322034,37.0,0.7668575413192252,0.4804932241706929,0.27429591067352077,0.8416958820386643,0.8788809129818332,0.7748675752885169,0.9968563453131598,1995-06-12 06:00:00,0.85,157,239,207
15.768813559322036,37.0,0.773798009490202,0.49971816091470916,0.29396048438593775,0.8494959479660082,0.8868352521830047,0.7899414360998781,0.9956140146255773,1995-06-12 06:00:00,0.85,157,239,207
16.96949152542373,37.0,0.7805909801283588,0.5197123034960177,0.3150348328862528,0.8573682977547439,0.8946205472536529,0.8047123698997206,0.9945739042984523,1995-06-12 06:00:00,0.85,157,239,207
