age,ref_age,cfr,odds_ratio,or_lower_ci,or_upper_ci,risk_ratio,rr_lower_ci,rr_upper_ci,cutoff,frac,days_since_start,n,n_deaths
0.0,40.0,0.4645170746603372,0.975100771990646,0.17450950188619813,5.448537215794747,0.9866668885468518,0.3928171888291567,2.4782814414420224,2012-08-28 00:00:00.000000001,0.55,88,34,16
1.305084745762712,40.0,0.4647217136167853,0.9759032931720792,0.18473804261135227,5.155339009560257,0.9871015560616719,0.40511645967522086,2.4051589578969947,2012-08-28 00:00:00.000000001,0.55,88,34,16
2.610169491525424,40.0,0.46492636445187335,0.9767064748393465,0.19556610969028854,4.877918467079241,0.9875362488075575,0.4177911642038478,2.334247170036059,2012-08-28 00:00:00.000000001,0.55,88,34,16
3.915254237288136,40.0,0.46513102709737625,0.9775103175360365,0.2070288432137133,4.615426556303678,0.9879709666395937,0.4308524521620357,2.2654777198661153,2012-08-28 00:00:00.000000001,0.55,88,34,16
5.220338983050848,40.0,0.4653357014850535,0.9783148218061856,0.21916344294154907,4.367059933535208,0.9884057094128327,0.4443117946842324,2.1987844079047916,2012-08-28 00:00:00.000000001,0.55,88,34,16
6.52542372881356,40.0,0.46554038754664817,0.9791199881942777,0.2320092890265063,4.132058484830911,0.9888404769822923,0.4581809932577835,2.1341031236719825,2012-08-28 00:00:00.000000001,0.55,88,34,16
7.830508474576272,40.0,0.4657450852138881,0.9799258172452447,0.24560806981363648,3.9097029997116417,0.9892752692029573,0.47247218892957527,2.071371778461355,2012-08-28 00:00:00.000000001,0.55,88,34,16
9.135593220338983,40.0,0.46594979441848544,0.9807323095044674,0.26000391713061277,3.699312970053405,0.9897100859297799,0.4871978717600989,2.010530240315706,2012-08-28 00:00:00.000000001,0.55,88,34,16
10.440677966101696,40.0,0.4661545150921367,0.9815394655177752,0.2752435495077906,3.5002445074254154,0.9901449270176783,0.5023708905313212,1.9515202711326671,2012-08-28 00:00:00.000000001,0.55,88,34,16
11.745762711864408,40.0,0.4663592471665231,0.9823472858314465,0.291376423792839,3.3118883725009396,0.9905797923215388,0.5180044627149036,1.8942854658297354,2012-08-28 00:00:00.000000001,0.55,88,34,16
13.05084745762712,40.0,0.4665639905733106,0.9831557709922096,0.30845489565197254,3.1336681105100332,0.9910146816962151,0.5341121847074685,1.8387711935000117,2012-08-28 00:00:00.000000001,0.55,88,34,16
14.35593220338983,40.0,0.4667687452441496,0.9839649215472428,0.3265343894786573,2.9650382870278156,0.9914495949965278,0.5507080423397824,1.7849245404923524,2012-08-28 00:00:00.000000001,0.55,88,34,16
15.661016949152543,40.0,0.46697351111067564,0.9847747380441745,0.3456735782611908,2.805482818698993,0.9918845320772661,0.5678064216668895,1.7326942553518987,2012-08-28 00:00:00.000000001,0.55,88,34,16
16.966101694915256,40.0,0.4671782881045092,0.985585221031084,0.36593457399287377,2.654513393789917,0.992319492793187,0.5854221200464015,1.682030695559094,2012-08-28 00:00:00.000000001,0.55,88,34,16
18.271186440677965,40.0,0.4673830761572558,0.9863963710565017,0.387383129242713,2.5116679777343145,0.9927544769990158,0.6035703575123296,1.6328857760074087,2012-08-28 00:00:00.000000001,0.55,88,34,16
19.576271186440678,40.0,0.4675878752005059,0.9872081886694092,0.4100888505408045,2.3765093990990214,0.9931894845494459,0.6222667884520227,1.5852129191620006,2012-08-28 00:00:00.000000001,0.55,88,34,16
20.88135593220339,40.0,0.4677926851658352,0.98802067441924,0.43412542427089107,2.248624011642123,0.9936245152991393,0.6415275135939578,1.5389670068435057,2012-08-28 00:00:00.000000001,0.55,88,34,16
22.186440677966104,40.0,0.4679975059848052,0.9888338288558801,0.45957085580318313,2.12762042836879,0.9940595691027279,0.6613690923143242,1.4941043335830213,2012-08-28 00:00:00.000000001,0.55,88,34,16
23.491525423728817,40.0,0.468202337588962,0.9896476525296677,0.4865077226434902,2.0131283237104576,0.9944946458148104,0.6818085552705282,1.4505825614961694,2012-08-28 00:00:00.000000001,0.55,88,34,16
24.796610169491526,40.0,0.4684071799098378,0.9904621459913939,0.5150234424202053,1.9047973001614782,0.9949297452899568,0.7028634173699522,1.4083606766259003,2012-08-28 00:00:00.000000001,0.55,88,34,16
26.10169491525424,40.0,0.46861203287895026,0.9912773097923037,0.5452105565788345,1.8022958159046276,0.9953648673827056,0.7245516910824934,1.367398946705363,2012-08-28 00:00:00.000000001,0.55,88,34,16
27.40677966101695,40.0,0.4688168964278025,0.9920931444840949,0.5771670307047382,1.7053101701435407,0.9958000119475647,0.7468919001056236,1.3276588802938392,2012-08-28 00:00:00.000000001,0.55,88,34,16
