group,method,estimate,lower_ci,upper_ci,n,n_deaths,n_recoveries,outbreak_year
False,naive,0.772093023255814,0.7101379474243292,0.8263817268888911,215,166,29,1995
False,resolved,0.8512820512820513,0.7934489510284474,0.8980837124943154,215,166,29,1995
False,delay_adjusted,0.7757000000000001,0.7168,0.8280000000000001,215,166,29,1995
False,competing_risks,0.7874273255813952,0.7180360772193335,0.8434643191307598,215,166,29,1995
False,kaplan_meier_ghani,0.837649787398531,0.7820132241685726,0.8812427181412219,215,166,29,1995
False,parametric_mixture,0.7773895843543599,0.7178212873753558,0.8305019677518677,215,166,29,1995
True,naive,0.7605633802816901,0.6445515121499413,0.8539045186571268,71,54,16,1995
True,resolved,0.7714285714285715,0.6555249905543887,0.8633430194237375,71,54,16,1995
True,delay_adjusted,0.7606,0.6532,0.8494,71,54,16,1995
True,competing_risks,0.7605633802816902,0.6480995818343408,0.8456451007658983,71,54,16,1995
True,kaplan_meier_ghani,0.7714285714285714,0.7289635612995551,0.8089837263587578,71,54,16,1995
True,parametric_mixture,0.7605632309467582,0.653169330284676,0.849479177602195,71,54,16,1995
