date,n,naive,naive_lower,naive_upper,resolved,resolved_lower,resolved_upper,delay_adjusted,delay_adjusted_lower,delay_adjusted_upper,competing_risks,competing_risks_lower,competing_risks_upper,kaplan_meier_ghani,kaplan_meier_ghani_upper,kaplan_meier_ghani_lower,parametric_mixture,parametric_mixture_lower,parametric_mixture_upper,parametric_mixture_success
1976-08-25,1,0.0,0.0,0.975,,,,,,,,,,,,,,,,False
1976-08-26,1,0.0,0.0,0.975,,,,0.0001,0.0001,0.9999,,,,,,,,,,False
1976-08-27,1,0.0,0.0,0.975,,,,0.0001,0.0001,0.9999,,,,,,,,,,False
1976-08-28,1,0.0,0.0,0.975,,,,0.0001,0.0001,0.9999,,,,,,,,,,False
1976-08-29,1,0.0,0.0,0.975,,,,0.0001,0.0001,0.9999,,,,,,,,,,False
1976-08-30,1,0.0,0.0,0.975,,,,0.0001,0.0001,0.9999,,,,,,,,,,False
1976-08-31,1,0.0,0.0,0.975,,,,0.0001,0.0001,0.9999,,,,,,,,,,False
1976-09-01,2,0.0,0.0,0.841886116991581,,,,0.0001,0.0001,0.8534,,,,,,,,,,False
1976-09-02,3,0.0,0.0,0.7075982261787133,,,,0.0001,0.0001,0.8534,,,,,,,,,,False
1976-09-03,4,0.0,0.0,0.6023646356164746,,,,0.0001,0.0001,0.8534,,,,,,,,,,False
1976-09-04,9,0.0,0.0,0.3362671168799428,,,,0.0001,0.0001,0.8534,,,,,,,,,,False
1976-09-05,10,0.0,0.0,0.3084971078187608,,,,0.0001,0.0001,0.8534,,,,,,,,,,False
1976-09-06,11,0.0,0.0,0.28491415291815436,,,,0.0001,0.0001,0.6171,,,,,,,,,,False
1976-09-07,14,0.07142857142857142,0.0018067806591253865,0.3386844899318212,1.0,0.025,1.0,0.33330000000000004,0.0228,0.8391000000000001,0.1111111111111111,0.015393491639140286,0.4998535487153583,1.0,,,0.15512611493499015,0.009156665826017575,0.5666650497532777,True
1976-09-08,16,0.125,0.015513603815413885,0.38347623684926346,1.0,0.15811388300841897,1.0,0.5,0.1073,0.8927,0.55,0.08730463103957496,0.9398195334604412,1.0,,,0.5098401676436183,0.08859616327319522,0.99999999,True
1976-09-09,22,0.18181818181818182,0.0518672993124369,0.40284578307787133,0.8,0.2835820638819105,0.9949492366205319,0.8,0.3719,0.9873000000000001,0.7244318181818181,0.2863936856234565,0.9451151374440202,0.9205776173285198,0.986629625083581,0.6454707174442303,0.6756009633435325,0.27007796136983475,0.9433493504370767,True
1976-09-10,32,0.15625,0.05275056440213407,0.3278787656820417,0.8333333333333334,0.35876542100232517,0.9957892554855106,0.7143,0.3503,0.9457000000000001,0.9545454545454546,0.7385479916737285,0.9936353404276531,0.9545454545454546,0.9921303041816615,0.777682159364944,0.9462939938949106,0.7777409149252044,0.9968873836885888,True
1976-09-11,36,0.2222222222222222,0.10115053034491275,0.39151764915738135,0.8888888888888888,0.517503485082663,0.9971908632534008,0.9999,0.7866000000000001,0.9999,0.9687499999999999,0.8088665087718468,0.9956156181204658,0.96875,0.9950080430414101,0.8282182025469984,0.9620069234872558,0.8372436717295809,0.9978203400336086,True
1976-09-12,45,0.2,0.09575726969114265,0.3459582977949477,0.9,0.5549838829718047,0.9974714214555382,0.8182,0.5371,0.9672000000000001,0.9722222222222221,0.827438598683037,0.9961009448271657,0.9722222222222222,0.9956510006772749,0.8425393929870597,0.9705039838911361,0.8758647583165998,0.9982957356716012,True
1976-09-13,54,0.2037037037037037,0.10631925249021464,0.33530491948924956,0.9166666666666666,0.6152038348490559,0.9978924067681397,0.7857000000000001,0.5339,0.9418000000000001,0.9777777777777779,0.8584017564589134,0.9968784550836978,0.9777777777777779,0.9966098778136568,0.8681713162008504,0.9750868094312687,0.8933059149140398,0.998568016419219,True
1976-09-14,62,0.1935483870967742,0.1042096292621763,0.31368595169946273,0.9230769230769231,0.6397025647321225,0.9980543715026533,0.6667000000000001,0.4373,0.8516,0.9814814814814816,0.8799465500892693,0.9973974554944879,0.9814814814814814,0.9972042428996368,0.8873277411087237,0.9796790330519571,0.9126987877192597,0.9988327763084432,True
1976-09-15,72,0.2777777777777778,0.1786428811522799,0.3959058182320361,0.9523809523809523,0.761840090063179,0.9987951165516364,0.9091,0.745,0.9842000000000001,0.9838709677419356,0.8942502220380765,0.9977325690436005,0.9838709677419354,0.9975127460406509,0.9027062177559346,0.9828569468695711,0.9263491976138536,0.9990152088505788,True
1976-09-16,78,0.3076923076923077,0.20807963528258547,0.42242525085189425,0.96,0.796483086077586,0.9989878003006891,0.8889,0.7367,0.9711000000000001,0.9861111111111113,0.9079587072627467,0.9980469306975297,0.986111111111111,0.9978878134405659,0.914310708312788,0.9850135417189552,0.9352375148934484,0.9991404992697356,True
1976-09-17,84,0.32142857142857145,0.2236262203951337,0.4322424798003285,0.9642857142857143,0.8165224024553763,0.999096201244342,0.8182,0.6655,0.9233,0.9871794871794871,0.9146011515545001,0.9981969220376156,0.9871794871794872,0.9980632185042924,0.9200349354707876,0.9866500088697122,0.9424154933283871,0.9992339061352343,True
1976-09-18,89,0.3707865168539326,0.2707299336343144,0.47970188653242013,0.9705882352941176,0.8467323304396823,0.9992556357653097,0.8462000000000001,0.7126,0.9357000000000001,0.9880952380952384,0.9203494843525332,0.9983255192101047,0.9880952380952381,0.9982121438707318,0.9250296162090765,0.9876405968310233,0.9466149876671344,0.9992910292447638,True
