reference_cfr,exposed_cfr,odds_ratio,or_lower_ci,or_upper_ci,risk_ratio,rr_lower_ci,rr_upper_ci,n,method,hazard_ratio,lower_ci,upper_ci,n_events,family,n_reference,n_exposed,reference_km_cfr,exposed_km_cfr,n_deaths,n_recoveries
0.3920000000000003,0.3750000000000016,0.9306122448979645,0.31795502116821156,2.723778813657602,0.9566326530612278,0.4899130243777231,1.8679765333149942,141,naive,,,,,,,,,,,
0.4083333333333335,0.4000000000000001,0.965986394557823,0.32307970858876317,2.8882337381905043,0.9795918367346937,0.5082571411419183,1.8880210210943322,135,resolved,,,,,,,,,,,
,,,,,,,,141,competing_risks_hr,1.0684188888208954,0.4568235003332808,2.498818298875756,55.0,,,,,,,
0.4118,0.42860000000000004,1.0713974503970465,0.3496688994068571,3.282798380595072,1.0407965031568724,0.5477946787372422,1.977487922081795,140,delay_adjusted,,,,,gamma,125.0,15.0,,,,
,,0.9926221041758887,0.46754493341152126,2.107388127402364,0.9955732625055332,0.6338174916453533,1.5638036723204054,140,kaplan_meier_ghani,,,,,,125.0,15.0,0.40177856825255676,0.39999999999999997,,
0.4152811193865736,0.3999995724557199,0.9386699140724867,0.31421648098743754,2.8041215559920816,0.9632019222221646,0.5004136783722107,1.8539819814485583,140,parametric_mixture,,,,,gamma,125.0,15.0,,,55.0,80.0
