date,n,naive,naive_lower,naive_upper,delay_adjusted,delay_adjusted_lower,delay_adjusted_upper,competing_risks,competing_risks_lower,competing_risks_upper
2014-07-26,1,0.0,0.0,0.975,,,,,,
2014-08-03,3,0.0,0.0,0.7075982261787133,0.0001,0.0001,0.8534,,,
2014-08-04,4,0.0,0.0,0.6023646356164746,0.0001,0.0001,0.8534,,,
2014-08-07,6,0.0,0.0,0.4592581264399005,0.0001,0.0001,0.6171,,,
2014-08-10,7,0.0,0.0,0.4096163972250034,0.0001,0.0001,0.4727,,,
2014-08-11,10,0.1,0.0025285785444617848,0.4450161170281954,0.33330000000000004,0.0228,0.8391000000000001,1.0,0.9999999999989999,0.9999999999989999
2014-08-12,11,0.09090909090909091,0.002298972213814267,0.4127799169883827,0.25,0.016300000000000002,0.7223,1.0,0.9999999999989999,0.9999999999989999
2014-08-13,16,0.0625,0.0015811117227658871,0.3023207384345319,0.2,0.012700000000000001,0.6281,1.0,0.9999999999989999,0.9999999999989999
2014-08-14,19,0.10526315789473684,0.013012164371777464,0.33137666445676595,0.33330000000000004,0.0649,0.7191000000000001,1.0,0.9999999999989999,0.9999999999989999
2014-08-15,21,0.19047619047619047,0.05446356817840681,0.41906604118352797,0.5714,0.2273,0.8712000000000001,1.0,0.9999999999989999,0.9999999999989999
2014-08-16,22,0.18181818181818182,0.0518672993124369,0.40284578307787133,0.4444,0.16540000000000002,0.7513000000000001,0.9999999999999999,0.9999999999989999,0.9999999999989999
2014-08-17,23,0.30434782608695654,0.13210287969809986,0.5291916660085065,0.7000000000000001,0.3936,0.9154,1.0,0.9999999999989999,0.9999999999989999
2014-08-18,26,0.2692307692307692,0.11573221329150399,0.47787478969383146,0.6364000000000001,0.34590000000000004,0.8697,1.0,0.9999999999989999,0.9999999999989999
2014-08-19,28,0.32142857142857145,0.15877603788615388,0.5235164067096185,0.6923,0.42300000000000004,0.8924000000000001,1.0,0.9999999999989999,0.9999999999989999
2014-08-20,33,0.3333333333333333,0.17960513493256014,0.5182674724875822,0.7857000000000001,0.5339,0.9418000000000001,1.0,0.9999999999989999,0.9999999999989999
2014-08-21,34,0.3235294117647059,0.1738834274939214,0.5052653008985046,0.6875,0.4446,0.8746,1.0000000000000002,0.9999999999989999,0.9999999999989999
2014-08-22,36,0.3333333333333333,0.1855618098259212,0.5097025466518912,0.6667000000000001,0.4373,0.8516,1.0000000000000002,0.9999999999989999,0.9999999999989999
2014-08-23,38,0.3684210526315789,0.21812503509615175,0.5400572140755622,0.7368,0.5173,0.8964000000000001,0.890505472371355,0.5153090589967084,0.9841806247183391
2014-08-24,40,0.35,0.2062824908707669,0.5168444536489907,0.6667000000000001,0.45430000000000004,0.8406,0.8864492033372489,0.503779527475397,0.9836143618093547
