date,n,naive,naive_lower,naive_upper,resolved,resolved_lower,resolved_upper,delay_adjusted,delay_adjusted_lower,delay_adjusted_upper,competing_risks,competing_risks_lower,competing_risks_upper,kaplan_meier_ghani,kaplan_meier_ghani_upper,kaplan_meier_ghani_lower,parametric_mixture,parametric_mixture_lower,parametric_mixture_upper,parametric_mixture_success
2012-06-01,1,0.0,0.0,0.975,,,,,,,,,,,,,,,,False
2012-06-07,2,0.5,0.01257911709342505,0.9874208829065749,1.0,0.025,1.0,,,,1.0,0.9999999999989999,0.9999999999989999,1.0,,,0.9999032181782538,0.14648588593743947,0.99999999,True
2012-06-12,3,0.3333333333333333,0.008403758659612636,0.9057006759497539,1.0,0.025,1.0,,,,1.0,0.9999999999989999,0.9999999999989999,1.0,,,0.9999546021312976,0.14649341369536123,0.99999999,True
2012-06-13,4,0.5,0.06758598648854294,0.932414013511457,1.0,0.15811388300841897,1.0,,,,1.0,0.9999999999989999,0.9999999999989999,1.0,,,0.9998993196914666,0.19380738394320754,0.99999999,True
2012-06-14,7,0.2857142857142857,0.03669256617608555,0.7095791362626572,1.0,0.15811388300841897,1.0,,,,1.0,0.9999999999989999,0.9999999999989999,1.0,,,0.9999546021312976,0.3827358922372338,0.99999999,True
2012-06-18,8,0.25,0.031854026249944226,0.6508557944128242,1.0,0.15811388300841897,1.0,,,,0.6666666666666666,0.15351312117393504,0.9566281032788424,1.0,,,0.9999546021312976,0.3117825861643628,0.99999999,True
2012-06-19,9,0.2222222222222222,0.028144973477898197,0.600093573716312,1.0,0.15811388300841897,1.0,0.9999,0.3829,0.9999,0.5,0.12347094531688806,0.876529054683112,1.0,,,0.5818726618993192,0.028199098517680113,0.99999999,True
2012-06-24,10,0.4,0.12155225811982719,0.7376219233930549,0.8,0.2835820638819105,0.9949492366205319,0.8,0.3719,0.9873000000000001,0.8888888888888888,0.5001464512846417,0.9846065083608597,0.8888888888888888,0.9740750917308151,0.6300890604052246,0.8888935074752479,0.5947450728599573,0.9933055935392711,True
2012-06-25,11,0.36363636363636365,0.10926344381909811,0.6920952849883228,0.8,0.2835820638819105,0.9949492366205319,0.8,0.3719,0.9873000000000001,0.4888888888888888,0.19269639867563162,0.7930945296603797,0.8148148148148149,0.9651511601679211,0.41143028241376467,0.888871050363076,0.5947450211909978,0.993305592283768,True
2012-06-28,13,0.3076923076923077,0.0909203945720966,0.6142616617507044,0.8,0.2835820638819105,0.9949492366205319,0.5714,0.2273,0.8712000000000001,0.5,0.19896764434574007,0.80103235565426,0.8461538461538461,0.9730638436672389,0.45574510400890256,0.909083402469688,0.656919632175118,0.9945783924241105,True
