date,n,naive,naive_lower,naive_upper,resolved,resolved_lower,resolved_upper,delay_adjusted,delay_adjusted_lower,delay_adjusted_upper,competing_risks,competing_risks_lower,competing_risks_upper,kaplan_meier_ghani,kaplan_meier_ghani_upper,kaplan_meier_ghani_lower,parametric_mixture,parametric_mixture_lower,parametric_mixture_upper,parametric_mixture_success,has_recovery_data
2022-08-06,1,0.0,0.0,0.975,,,,,,,,,,,,,,,,False,False
2022-08-07,2,0.0,0.0,0.841886116991581,,,,0.0001,0.0001,0.8534,,,,,,,,,,False,False
2022-08-08,2,0.0,0.0,0.841886116991581,,,,0.0001,0.0001,0.8534,,,,,,,,,,False,False
2022-08-09,2,0.0,0.0,0.841886116991581,,,,0.0001,0.0001,0.8534,,,,,,,,,,False,False
2022-08-10,2,0.0,0.0,0.841886116991581,,,,0.0001,0.0001,0.8534,,,,,,,,,,False,False
2022-08-11,2,0.0,0.0,0.841886116991581,,,,0.0001,0.0001,0.8534,,,,,,,,,,False,False
2022-08-12,2,0.0,0.0,0.841886116991581,,,,0.0001,0.0001,0.6171,,,,,,,,,,False,False
2022-08-13,2,0.0,0.0,0.841886116991581,,,,0.0001,0.0001,0.6171,,,,,,,,,,False,False
2022-08-14,2,0.0,0.0,0.841886116991581,,,,0.0001,0.0001,0.6171,,,,,,,,,,False,False
2022-08-15,2,0.0,0.0,0.841886116991581,,,,0.0001,0.0001,0.6171,,,,,,,,,,False,False
2022-08-16,2,0.0,0.0,0.841886116991581,,,,0.0001,0.0001,0.6171,,,,,,,,,,False,False
2022-08-17,2,0.0,0.0,0.841886116991581,,,,0.0001,0.0001,0.6171,,,,,,,,,,False,False
2022-08-18,2,0.0,0.0,0.841886116991581,,,,0.0001,0.0001,0.6171,,,,,,,,,,False,False
2022-08-19,3,0.0,0.0,0.7075982261787133,,,,0.0001,0.0001,0.6171,,,,,,,,,,False,False
2022-08-20,4,0.0,0.0,0.6023646356164746,,,,0.0001,0.0001,0.6171,,,,,,,,,,False,False
2022-08-21,4,0.0,0.0,0.6023646356164746,,,,0.0001,0.0001,0.4727,,,,,,,,,,False,False
2022-08-22,5,0.0,0.0,0.5218237501049814,,,,0.0001,0.0001,0.4727,,,,,,,,,,False,False
2022-08-23,5,0.0,0.0,0.5218237501049814,,,,0.0001,0.0001,0.38120000000000004,,,,,,,,,,False,False
2022-08-24,5,0.0,0.0,0.5218237501049814,,,,0.0001,0.0001,0.38120000000000004,,,,,,,,,,False,False
2022-08-25,5,0.0,0.0,0.5218237501049814,,,,0.0001,0.0001,0.38120000000000004,,,,,,,,,,False,False
2022-08-26,5,0.0,0.0,0.5218237501049814,,,,0.0001,0.0001,0.38120000000000004,,,,,,,,,,False,False
2022-08-27,6,0.0,0.0,0.4592581264399005,,,,0.0001,0.0001,0.38120000000000004,,,,,,,,,,False,False
2022-08-28,7,0.0,0.0,0.4096163972250034,,,,0.0001,0.0001,0.3189,,,,,,,,,,False,False
2022-08-29,7,0.0,0.0,0.4096163972250034,,,,0.0001,0.0001,0.3189,,,,,,,,,,False,False
2022-08-30,7,0.0,0.0,0.4096163972250034,,,,0.0001,0.0001,0.27390000000000003,,,,,,,,,,False,False
2022-08-31,7,0.0,0.0,0.4096163972250034,,,,0.0001,0.0001,0.27390000000000003,,,,,,,,,,False,False
2022-09-01,9,0.0,0.0,0.3362671168799428,,,,0.0001,0.0001,0.27390000000000003,,,,,,,,,,False,False
2022-09-02,10,0.0,0.0,0.3084971078187608,,,,0.0001,0.0001,0.2399,,,,,,,,,,False,False
2022-09-03,11,0.0,0.0,0.28491415291815436,,,,0.0001,0.0001,0.2134,,,,,,,,,,False,False
2022-09-04,11,0.0,0.0,0.28491415291815436,,,,0.0001,0.0001,0.19210000000000002,,,,,,,,,,False,False
2022-09-05,13,0.0,0.0,0.24705263800047092,,,,0.0001,0.0001,0.19210000000000002,,,,,,,,,,False,False
2022-09-06,14,0.0,0.0,0.23163576165011648,,,,0.0001,0.0001,0.17470000000000002,,,,,,,,,,False,False
2022-09-07,14,0.0,0.0,0.23163576165011648,,,,0.0001,0.0001,0.1602,,,,,,,,,,False,False
