reference_cfr,exposed_cfr,odds_ratio,or_lower_ci,or_upper_ci,risk_ratio,rr_lower_ci,rr_upper_ci,n,method,hazard_ratio,lower_ci,upper_ci,n_events
0.6764705882352132,0.33333333333337856,0.23913043478274576,0.05903651469551538,0.9686101073939053,0.49275362318853155,0.21417113557524348,1.1337014790217692,46,naive,,,,
0.7666666666662717,0.4444444444444444,0.24347826087010277,0.0509860628061212,1.1627033007383474,0.5797101449278349,0.2720228764317936,1.2354249632990528,39,resolved,,,,
,,,,,,,,46,competing_risks_hr,0.4776923204898007,0.16460072806130918,1.3863240809599338,27.0
