date,n,naive,naive_lower,naive_upper,resolved,resolved_lower,resolved_upper,delay_adjusted,delay_adjusted_lower,delay_adjusted_upper,competing_risks,kaplan_meier,parametric_mixture,parametric_mixture_success
1995-01-06,1,0.0,0.0,0.975,,,,,,,,,,False
1995-01-20,3,0.3333333333333333,0.008403758659612636,0.9057006759497539,1.0,0.025,1.0,,,,1.0,1.0,0.9999546021312976,True
1995-01-21,4,0.25,0.006309463209709866,0.8058795503167565,1.0,0.025,1.0,,,,1.0,1.0,0.9963081021524496,True
1995-01-23,5,0.2,0.0050507633794680575,0.7164179361180895,1.0,0.025,1.0,0.9999,0.1466,0.9999,1.0,1.0,0.9999546021312976,True
1995-02-07,6,0.6666666666666666,0.22277809550351213,0.9567281317072583,1.0,0.3976353643835253,1.0,0.9999,0.6188,0.9999,0.8000000000000002,1.0,0.9999546021312976,True
1995-02-08,7,0.5714285714285714,0.184051567640083,0.9010117215574921,1.0,0.3976353643835253,1.0,0.8,0.3719,0.9873000000000001,0.8000000000000002,1.0,0.8693714163427176,True
1995-02-13,8,0.75,0.3491442055871758,0.9681459737500557,1.0,0.5407418735600995,1.0,,,,1.0000000000000002,1.0,0.9999546021312976,True
1995-02-16,9,0.8888888888888888,0.517503485082663,0.9971908632534008,1.0,0.6305833524471807,1.0,,,,1.0,1.0,0.9999546021312976,True
1995-02-20,10,0.9,0.5549838829718047,0.9974714214555382,1.0,0.6637328831200572,1.0,,,,1.0000000000000002,1.0,0.9999546021312976,True
1995-02-21,12,0.75,0.4281415381218108,0.9451393554720072,1.0,0.6637328831200572,1.0,,,,1.0000000000000002,1.0,0.9999546021312976,True
1995-02-26,13,0.7692307692307693,0.461868460765959,0.9496189265088485,1.0,0.6915028921812392,1.0,,,,1.0000000000000002,1.0,0.9999546021312976,True
1995-03-08,14,0.8571428571428571,0.5718708390903011,0.9822054845168084,1.0,0.7353515306029488,1.0,,,,0.9999999999999999,1.0,0.9999546021312976,True
1995-03-13,17,0.7647058823529411,0.5010067267954198,0.9318922595626433,1.0,0.752947361999529,1.0,,,,0.9999999999999998,1.0,0.9999546021312976,True
1995-03-17,18,0.7222222222222222,0.46519803441694385,0.9030507874744406,1.0,0.752947361999529,1.0,0.9286000000000001,0.7215,0.9957,1.0,1.0,0.9999546021312976,True
1995-03-20,19,0.7368421052631579,0.48797065465412726,0.9085342150923335,0.9333333333333333,0.6805154334216966,0.9983135697586473,0.9333,0.738,0.996,0.9404761904761907,0.9404761904761905,0.9341190241081154,True
1995-03-22,21,0.6666666666666666,0.4303245170958757,0.8541230576569032,0.9333333333333333,0.6805154334216966,0.9983135697586473,0.875,0.6618,0.9780000000000001,0.9398148148148149,0.9398148148148149,0.9425734952376358,True
1995-04-01,23,0.8260869565217391,0.6121881100452025,0.9504923546942066,0.95,0.7512672372279722,0.9987349105020502,0.9999,0.9038,0.9999,0.9047619047619051,0.95,0.9833316052329262,True
1995-04-03,24,0.7916666666666666,0.5784871563627474,0.928681382801945,0.95,0.7512672372279722,0.9987349105020502,0.9500000000000001,0.7979,0.997,0.9047619047619051,0.95,0.9522692131312849,True
1995-04-04,25,0.76,0.5487119821833135,0.9064355606682571,0.95,0.7512672372279722,0.9987349105020502,0.9500000000000001,0.7979,0.997,0.9033816425120772,0.949238578680203,0.9520696514790865,True
1995-04-05,27,0.7037037037037037,0.4981863336299986,0.8624734460594208,0.95,0.7512672372279722,0.9987349105020502,0.9048,0.734,0.9834,0.9021739130434783,0.9485714285714286,0.9519104339031496,True
1995-04-06,28,0.6785714285714286,0.4764835932903815,0.8412239621138461,0.95,0.7512672372279722,0.9987349105020502,0.9048,0.734,0.9834,0.9015625,0.9482333607230896,0.9798426545912992,True
1995-04-08,29,0.6551724137931034,0.4566942723320567,0.8206163507648881,0.95,0.7512672372279722,0.9987349105020502,0.8636,0.6835,0.9642000000000001,0.90205081114172,0.9525913155909923,0.916871618349321,True
1995-04-09,30,0.6333333333333333,0.43855984901195755,0.8007013749879655,0.95,0.7512672372279722,0.9987349105020502,0.8261000000000001,0.6411,0.9424,0.9004865103936308,0.9517910360544615,0.9108417819513427,True
