age,ref_age,cfr,odds_ratio,or_lower_ci,or_upper_ci,risk_ratio,rr_lower_ci,rr_upper_ci
0.0,40.5,0.8225076438985176,2.304895998011951,0.3999800761848735,13.282025475678978,1.2316090651545364,0.8836406232470282,1.716603842631148
0.7777777777777778,40.5,0.8201543961651091,2.2682286742012923,0.40708112792667306,12.638417665472543,1.2280853517124546,0.8832191700059487,1.7076097103740913
1.5555555555555556,40.5,0.8177768606029229,2.232144670695149,0.41430824828749147,12.025997192929125,1.2245252700854476,0.8828660129494694,1.6984028324620306
2.3333333333333335,40.5,0.8153749696992835,2.196634707771351,0.42166367542827743,11.443252811579846,1.2209287191811748,0.8825828063254159,1.6889825256484348
3.111111111111111,40.5,0.8129486608784294,2.1616896533337293,0.4291496872451999,10.88874650550585,1.217295605299747,0.8823712323577388,1.6793482565411983
3.888888888888889,40.5,0.8104978766287774,2.127300520563615,0.43676860207508933,10.361109940801601,1.2136258423242896,0.8822330021078078,1.6694996465087537
4.666666666666667,40.5,0.8080225646299789,2.093458465608698,0.4445227794134002,9.859041088989938,1.2099193519111962,0.8821698563716742,1.6594364764969243
5.444444444444445,40.5,0.8055226778796547,2.060154785308655,0.4524146206449224,9.381301014056397,1.2061760636798968,0.8821835666144132,1.649158691742242
6.222222222222222,40.5,0.8029981748196762,2.0273809149569573,0.4604465697874622,8.926710815174436,1.2023959154019515,0.8822759359426441,1.6386664063670937
7.0,40.5,0.8004490194618711,1.9951284260982862,0.4686211142487309,8.494148717577133,1.198578853189278,0.8824488001163903,1.6279599078417313
7.777777777777778,40.5,0.7978751815130167,1.9633890243609864,0.4769407855966653,8.082547304396732,1.1947248316813164,0.8827040286014325,1.6170396612978974
8.555555555555555,40.5,0.7952766364989916,1.9321545473240036,0.48540816034342904,7.690890882641014,1.1908338142309298,0.8830435256633681,1.6059063136785674
9.333333333333334,40.5,0.7926533658879434,1.901416962417755,0.4940258607433291,7.318212976806763,1.1869057730888357,0.8834692315045934,1.5945606977081035
10.11111111111111,40.5,0.7900053572123342,1.8711683648583914,0.5027965556049,6.963593943945276,1.1829406895863526,0.8839831234454674,1.583003835666961
10.88888888888889,40.5,0.7873326041897201,1.841400975614928,0.5117229611174053,6.626158704294807,1.1789385543162554,0.8845872171509435,1.571236942954981
11.666666666666666,40.5,0.7846351068421169,1.8121071394087074,0.5208078416920118,6.3050745818798495,1.1748993673115105,0.8852835679039847,1.5592614314272468
12.444444444444445,40.5,0.781912871613805,1.7832793227446944,0.530054010817897,5.999549249748648,1.1708231382216738,0.8860742719271112,1.5470789124864845
13.222222222222223,40.5,0.7791659114874206,1.7549101119740866,0.5394643319335582,5.708828774778396,1.1667098864867267,0.886961467753463,1.5346911999160586
14.0,40.5,0.7763942460981793,1.7269922113877454,0.5490417193135858,5.432195757223462,1.1625596415081088,0.8879473376487869,1.5221003124377224
14.777777777777779,40.5,0.7735979018460772,1.6995184413399604,0.5587891389711848,5.168967560415582,1.158372442816729,0.8890341090858074,1.5093084759784916
15.555555555555555,40.5,0.7707769120059114,1.6724817364020597,0.5687096095767155,4.918494626247604,1.1541483402377068,0.8902240562724577,1.4963181256312512
16.333333333333332,40.5,0.7679313168349594,1.6458751435453916,0.578806203392544,4.680158872283882,1.1498873940516106,0.8915195017354989,1.4831319072940414
17.11111111111111,40.5,0.765061163678158,1.619691820353219,0.5890820472244884,4.453372166542011,1.1455896751519492,0.892922817961085,1.4697526789733626
17.88888888888889,40.5,0.7621665070706165,1.5939250332610495,0.5995403233901562,4.237574876182135,1.1412552651986754,0.8944364290938738,1.4561835117373128
18.666666666666668,40.5,0.7592474088373053,1.5685681558249704,0.610184270704474,4.03223448652248,1.1368842567674562,0.8960628126963256,1.4424276903049205
19.444444444444446,40.5,0.7563039381897494,1.5436146670175233,0.6210171854827141,3.836844286973347,1.132476753494461,0.8978045015698637,1.428488713258646
20.22222222222222,40.5,0.7533361718195669,1.5190581495506903,0.632042422561326,3.6509221206468476,1.128032870216425,0.8996640856396271,1.414370292867739
21.0,40.5,0.7503441939886859,1.4948922882255644,0.6432633963368942,3.4740091945568907,1.123552733105737,0.9016442139045773,1.400076354510905
