date,n,naive,naive_lower,naive_upper,resolved,resolved_lower,resolved_upper,delay_adjusted,delay_adjusted_lower,delay_adjusted_upper,competing_risks,competing_risks_lower,competing_risks_upper,kaplan_meier_ghani,kaplan_meier_ghani_upper,kaplan_meier_ghani_lower,parametric_mixture,parametric_mixture_lower,parametric_mixture_upper,parametric_mixture_success
2007-04-01,1,1.0,0.025,1.0,1.0,0.025,1.0,,,,1.0,,,1.0,,,0.9999546021312976,0.14649341369582897,0.99999999,True
2007-04-02,2,1.0,0.15811388300841897,1.0,1.0,0.15811388300841897,1.0,,,,1.0,,,1.0,,,0.9999001147024374,0.3827150369957494,0.99999999,True
2007-04-04,3,1.0,0.2924017738212866,1.0,1.0,0.2924017738212866,1.0,,,,1.0,,,1.0,,,0.9999001187130222,0.5271115816001712,0.99999999,True
2007-04-06,4,0.75,0.19412044968324338,0.9936905367902902,1.0,0.2924017738212866,1.0,,,,0.75,,,1.0,,,0.9999546021312976,0.48982987046468596,0.99999999,True
2007-04-10,7,0.7142857142857143,0.2904208637373427,0.9633074338239145,1.0,0.4781762498950185,1.0,,,,0.7142857142857143,,,1.0,,,0.9999546021312976,0.6594943510037259,0.99999999,True
2007-04-15,10,0.8,0.4439045376923585,0.9747892736731666,1.0,0.6305833524471807,1.0,,,,0.8,,,1.0,,,0.9999171070893014,0.7864908402987729,0.99999999,True
2007-04-16,11,0.8181818181818182,0.4822441476398273,0.9771688017000403,1.0,0.6637328831200572,1.0,0.9,0.6285000000000001,0.994,0.8181818181818182,,,1.0,,,0.9999202581067574,0.8077568391916623,0.99999999,True
2007-04-18,12,0.75,0.4281415381218108,0.9451393554720072,1.0,0.6637328831200572,1.0,0.8182,0.5371,0.9672000000000001,0.75,,,1.0,,,0.9999546021312976,0.7986243501491611,0.99999999,True
2007-05-01,13,0.7692307692307693,0.461868460765959,0.9496189265088485,1.0,0.6915028921812392,1.0,0.8333,0.5687,0.9701000000000001,0.7692307692307693,,,1.0,,,0.9999546021312976,0.8252092075090572,0.99999999,True
2007-05-05,14,0.7857142857142857,0.49202432295152815,0.9534207121101327,1.0,0.7150858470818455,1.0,0.8462000000000001,0.5964,0.9726,0.7857142857142857,,,1.0,,,0.9999546021312976,0.8397448666341875,0.99999999,True
2007-05-12,15,0.8,0.5191088661931469,0.9566879948941633,1.0,0.7353515306029488,1.0,0.8571000000000001,0.6208,0.9747,0.8,,,1.0,,,0.9999546021312976,0.852053310385568,0.99999999,True
2007-05-15,16,0.8125,0.5435434537683883,0.9595262660940541,1.0,0.752947361999529,1.0,0.8667,0.6424000000000001,0.9764,0.8125,,,1.0,,,0.9999264194036454,0.8625845842866929,0.99999999,True
2007-05-16,17,0.8235294117647058,0.5656821271557161,0.962014931929374,1.0,0.7683642383498834,1.0,0.875,0.6618,0.9780000000000001,0.8235294117647058,,,1.0,,,0.9999546021312976,0.8717606673608157,0.99999999,True
2007-05-17,18,0.8333333333333334,0.5858225086052259,0.9642149168784253,1.0,0.7819806390894659,1.0,0.8824000000000001,0.6792,0.9794,0.8333333333333334,,,1.0,,,0.9999546021312976,0.8797706537150496,0.99999999,True
2007-05-20,19,0.8421052631578947,0.6042154487333258,0.9661737509982353,1.0,0.7940927857921772,1.0,0.8889,0.6949000000000001,0.9806,0.8421052631578947,,,1.0,,,0.9999546021312976,0.8868397421181329,0.99999999,True
2007-05-21,20,0.85,0.621073173454686,0.9679290628145363,1.0,0.8049356770309067,1.0,0.8947,0.7092,0.9816,0.85,,,1.0,,,0.9999546021312976,0.8931243284250062,0.99999999,True
2007-05-30,21,0.8095238095238095,0.5809339588164719,0.9455364318215932,1.0,0.8049356770309067,1.0,0.8500000000000001,0.6557000000000001,0.9604,0.8095238095238095,,,1.0,,,0.9999223609695719,0.8899823348978803,0.99999999,True
2007-06-01,22,0.7727272727272727,0.5462963763378781,0.9217937396481075,1.0,0.8049356770309067,1.0,0.8095,0.6114,0.9365,0.7727272727272727,,,1.0,,,0.9999546021312976,0.8900109734759446,0.99999999,True
2007-06-02,23,0.7391304347826086,0.5159480295975618,0.8977138660846415,1.0,0.8049356770309067,1.0,0.7727,0.5736,0.9118,0.7391304347826086,,,1.0,,,0.9999546021312976,0.8900109731959964,0.99999999,True
2007-06-04,25,0.76,0.5487119821833135,0.9064355606682571,1.0,0.8235330881930346,1.0,0.8261000000000001,0.6411,0.9424,0.76,,,1.0,,,0.9999546021312976,0.903809723161816,0.99999999,True
2007-06-05,26,0.7692307692307693,0.5635249030586136,0.9102598891154248,1.0,0.8315665290169146,1.0,0.8,0.6184000000000001,0.9231,0.7692307692307693,,,1.0,,,0.9999546021312976,0.9083896436935838,0.99999999,True
2007-06-08,27,0.7777777777777778,0.5774169399556212,0.9137830600524333,1.0,0.8389023847809204,1.0,0.8077000000000001,0.6313000000000001,0.9263,0.7777777777777778,,,1.0,,,0.9999546021312976,0.9125533731051225,0.99999999,True
2007-06-10,28,0.7857142857142857,0.5904689734941717,0.9170393876123615,1.0,0.8456274871844254,1.0,0.8148000000000001,0.6434000000000001,0.9292,0.7857142857142857,,,1.0,,,0.9999546021312976,0.9163551407602999,0.99999999,True
2007-06-12,29,0.7931034482758621,0.6027530507727604,0.9200581511239199,1.0,0.8518148710847756,1.0,0.8214,0.6548,0.9319000000000001,0.7931034482758621,,,1.0,,,0.9999546021312976,0.9198401507007159,0.99999999,True
2007-06-13,32,0.75,0.5659506250777573,0.8853839948974118,1.0,0.8575264022774743,1.0,0.8276,0.6654,0.9344,0.75,,,1.0,,,0.9999546021312976,0.9197633419837313,0.99999999,True
2007-06-15,37,0.7837837837837838,0.6178635082284505,0.9017343641645508,1.0,0.8805551309304973,1.0,0.9062,0.7747,0.9758,0.7837837837837838,,,1.0,,,0.9999546021312976,0.935871171414679,0.99999999,True
2007-06-16,38,0.7894736842105263,0.6268117163983604,0.9044588845441258,1.0,0.8842966917779722,1.0,0.8333,0.6908000000000001,0.9301,0.7894736842105263,,,1.0,,,0.9999546021312976,0.937939611061813,0.99999999,True
2007-06-17,39,0.7948717948717948,0.6353557593048811,0.9070360727170044,1.0,0.88781125307763,1.0,0.8378,0.6984,0.9321,0.7948717948717948,,,1.0,,,0.9999546021312976,0.9398787399053448,0.99999999,True
2007-06-18,40,0.8,0.6435219813207653,0.9094775906000093,1.0,0.8911188393206471,1.0,0.8421000000000001,0.7057,0.934,0.8,,,1.0,,,0.9999546021312976,0.9417003140509107,0.99999999,True
