date,naive,resolved,delay_adjusted
2018-08-03,0.23076923076923078,1.0,
2018-08-04,0.23076923076923078,1.0,0.999999999999
2018-08-05,0.4375,1.0,0.999999999999
2018-08-06,0.5625,1.0,0.999999999999
2018-08-07,0.5294117647058824,1.0,0.999999999999
2018-08-08,0.5882352941176471,1.0,0.999999999999
2018-08-09,0.5238095238095238,1.0,0.999999999999
2018-08-10,0.5,1.0,0.999999999999
2018-08-11,0.48,1.0,0.999999999999
2018-08-12,0.4666666666666667,1.0,0.999999999999
2018-08-13,0.38461538461538464,1.0,0.999999999999
2018-08-14,0.34782608695652173,1.0,0.999999999999
2018-08-15,0.3333333333333333,1.0,0.978510649728551
2018-08-16,0.3333333333333333,1.0,0.9826159834101158
2018-08-17,0.3492063492063492,1.0,0.9236339425435139
2018-08-18,0.359375,1.0,0.8290092207276187
2018-08-19,0.4057971014492754,1.0,0.8770638924959844
2018-08-20,0.4266666666666667,1.0,0.8841001227454814
2018-08-21,0.4473684210526316,1.0,0.838632291809764
2018-08-22,0.47368421052631576,1.0,0.8013429767162005
2018-08-23,0.5064935064935064,1.0,0.7929740939598465
2018-08-24,0.5316455696202531,1.0,0.7897586707509008
2018-08-25,0.5301204819277109,1.0,0.7735980393828394
2018-08-26,0.5662650602409639,1.0,0.7792121417326452
2018-08-27,0.5595238095238095,1.0,0.739652710433
2018-08-28,0.5529411764705883,1.0,0.7065627909204464
2018-08-29,0.5465116279069767,1.0,0.678799379323273
2018-08-30,0.5340909090909091,1.0,0.6553683619891464
2018-08-31,0.5333333333333333,1.0,0.6488284762824242
2018-09-01,0.5555555555555556,1.0,0.6571148888229865
2018-09-02,0.5604395604395604,1.0,0.6532763701503977
2018-09-03,0.5806451612903226,1.0,0.6758656993595022
2018-09-04,0.5833333333333334,1.0,0.6862332749143807
2018-09-05,0.5918367346938775,1.0,0.6966420252845956
2018-09-06,0.5918367346938775,0.6373626373626373,0.6830357512316974
2018-09-07,0.59,0.6276595744680851,0.6815159895657693
2018-09-08,0.59,0.6276595744680851,0.6689706769391734
2018-09-09,0.594059405940594,0.625,0.6683398393759485
2018-09-10,0.6039603960396039,0.6224489795918368,0.6682937637197546
2018-09-11,0.5980392156862745,0.6224489795918368,0.6581341554551172
2018-09-12,0.5754716981132075,0.6224489795918368,0.6490138594330067
2018-09-13,0.5779816513761468,0.63,0.661432727925631
2018-09-14,0.5871559633027523,0.6336633663366337,0.6627092526146529
2018-09-15,0.5945945945945946,0.6346153846153846,0.6736018988030623
2018-09-16,0.5945945945945946,0.6346153846153846,0.6637998649355683
2018-09-17,0.5945945945945946,0.6346153846153846,0.6541981873376004
2018-09-18,0.5945945945945946,0.6346153846153846,0.6451873486376871
2018-09-19,0.5892857142857143,0.6285714285714286,0.6370257697138051
2018-09-20,0.5862068965517241,0.6355140186915887,0.648821689758535
2018-09-21,0.5862068965517241,0.6296296296296297,0.6417490457122795
2018-09-22,0.5847457627118644,0.6330275229357798,0.644013191699403
2018-09-23,0.5798319327731093,0.6272727272727273,0.636906807227423
2018-09-24,0.5833333333333334,0.6306306306306306,0.6389375819186206
2018-09-25,0.5833333333333334,0.6306306306306306,0.6318310695059568
2018-09-26,0.5691056910569106,0.6194690265486725,0.6249793453746091
