date,n,naive,resolved,delay_adjusted,competing_risks,kaplan_meier,parametric_mixture,parametric_mixture_success
2008-11-18,1,0.0,,,,,,False
2008-11-27,2,1.0,1.0,0.999999999999,1.0,1.0,0.9999546021312976,True
2008-12-01,3,0.6666666666666666,1.0,0.999999999999,1.0,1.0,0.9999546021312976,True
2008-12-03,7,0.2857142857142857,1.0,0.999999999999,1.0,1.0,0.9998849175681648,True
2008-12-04,8,0.25,1.0,0.5812038047113137,1.0,1.0,0.504161745954893,True
2008-12-05,9,0.2222222222222222,1.0,0.46638903042587315,1.0,1.0,0.4163329735745547,True
2008-12-06,10,0.2,1.0,0.3924969201269864,1.0,1.0,0.3587274341881194,True
2008-12-08,11,0.18181818181818182,1.0,0.3144640022385191,1.0,1.0,0.3063930444209282,True
2008-12-09,12,0.16666666666666666,1.0,0.28266523108268665,1.0,1.0,0.27703716059083217,True
2008-12-10,14,0.14285714285714285,1.0,0.25532265485505945,0.5357142857142857,1.0,0.2522725969737043,True
2008-12-14,17,0.23529411764705882,1.0,0.3868997339599436,0.37254901960784315,1.0,0.603385275929825,True
2008-12-17,18,0.5,1.0,0.7062115382267867,0.659007659007659,1.0,0.9999546021312976,True
2008-12-18,20,0.45,1.0,0.6678994770069351,0.6365384615384615,1.0,0.9999546021312976,True
2008-12-20,24,0.375,1.0,0.5933613413439355,0.6180555555555556,1.0,0.9999546021312976,True
2008-12-21,28,0.32142857142857145,1.0,0.5291716049279739,0.5854591836734694,1.0,0.9240621663854444,True
2008-12-25,29,0.3793103448275862,1.0,0.5079121980562841,0.6124834217506632,1.0,0.9999546021312976,True
2008-12-27,32,0.34375,1.0,0.4750422699908337,0.5180035650623885,1.0,0.9339892106374983,True
