date,n,naive,resolved,delay_adjusted,competing_risks,kaplan_meier,parametric_mixture,parametric_mixture_success
1995-01-06,1,0.0,,,,,,False
1995-01-20,3,0.3333333333333333,1.0,0.999999999999,1.0,1.0,0.9999546021312976,True
1995-01-21,4,0.25,1.0,0.999999999999,1.0,1.0,0.9963081021524496,True
1995-01-23,5,0.2,1.0,0.8160683401725205,1.0,1.0,0.9999546021312976,True
1995-02-07,6,0.6666666666666666,1.0,0.9082691354393325,0.8000000000000002,1.0,0.9999546021312976,True
1995-02-08,7,0.5714285714285714,1.0,0.8865039300988202,0.8000000000000002,1.0,0.8693714163427176,True
1995-02-13,8,0.75,1.0,0.999999999999,1.0000000000000002,1.0,0.9999546021312976,True
1995-02-16,9,0.8888888888888888,1.0,0.999999999999,1.0,1.0,0.9999546021312976,True
1995-02-20,10,0.9,1.0,0.999999999999,1.0000000000000002,1.0,0.9999546021312976,True
1995-02-21,12,0.75,1.0,0.999999999999,1.0000000000000002,1.0,0.9999546021312976,True
1995-02-26,13,0.7692307692307693,1.0,0.999999999999,1.0000000000000002,1.0,0.9999546021312976,True
1995-03-08,14,0.8571428571428571,1.0,0.999999999999,0.9999999999999999,1.0,0.9999546021312976,True
1995-03-13,17,0.7647058823529411,1.0,0.999999999999,0.9999999999999998,1.0,0.9999546021312976,True
1995-03-17,18,0.7222222222222222,1.0,0.933772318705815,1.0,1.0,0.9999546021312976,True
1995-03-20,19,0.7368421052631579,0.9333333333333333,0.9349801893093359,0.9404761904761907,0.9230769230769229,0.9341190241081154,True
1995-03-22,21,0.6666666666666666,0.9333333333333333,0.8920719846961941,0.9398148148148149,0.9230769230769229,0.9425734952376358,True
1995-04-01,23,0.8260869565217391,0.95,0.9821212024536033,0.9047619047619051,0.9343003412969283,0.9833316052329262,True
1995-04-03,24,0.7916666666666666,0.95,0.9541605706523429,0.9047619047619051,0.9343003412969283,0.9522692131312849,True
1995-04-04,25,0.76,0.95,0.9387001972748016,0.9033816425120772,0.9342515592515592,0.9520696514790865,True
1995-04-05,27,0.7037037037037037,0.95,0.9217470949908529,0.9021739130434783,0.9342088154986349,0.9519104339031496,True
1995-04-06,28,0.6785714285714286,0.95,0.9021323598977717,0.9015625,0.9341871552771805,0.9798426545912992,True
1995-04-08,29,0.6551724137931034,0.95,0.8573665885051686,0.90205081114172,0.9412755095926854,0.916871618349321,True
1995-04-09,30,0.6333333333333333,0.95,0.834801254739963,0.9004865103936308,0.9412219644238206,0.9108417819513427,True
1995-04-10,31,0.6451612903225806,0.9523809523809523,0.8549301968595874,0.9038269526172755,0.9443032226538398,0.9509420790565196,True
1995-04-11,32,0.65625,0.9545454545454546,0.8726948758937043,0.9078507397019193,0.9471103185539435,0.9619769330874522,True
1995-04-12,33,0.6666666666666666,0.9565217391304348,0.88824205166564,0.9101003344481606,0.9496757767434458,0.9924244069686742,True
1995-04-13,34,0.7058823529411765,0.96,0.9409655509328329,0.918467386954782,0.9522364097032335,0.9796600349603193,True
1995-04-14,37,0.7297297297297297,0.9642857142857143,0.999999999999,0.9294597218860895,0.9528006046495548,0.9642427637206769,True
1995-04-15,38,0.7368421052631579,0.9655172413793104,0.999999999999,0.931328768349445,0.9529113443855434,0.9626746166464827,True
1995-04-16,41,0.7073170731707317,0.9666666666666667,0.999999999999,0.9338340381233567,0.9550144516859331,0.9639011363619303,True
1995-04-17,45,0.6444444444444445,0.9666666666666667,0.9973445152148408,0.9326258802011888,0.9549859571877596,0.9612435876936699,True
1995-04-19,47,0.6170212765957447,0.9666666666666667,0.9186034828397158,0.9323690543973365,0.9584978066754227,0.9894533928947075,True
1995-04-20,50,0.58,0.9666666666666667,0.8805759913595147,0.9313215233549935,0.9600276284348277,0.9761683648258083,True
1995-04-21,51,0.5686274509803921,0.9666666666666667,0.8433045019996552,0.9321128451380555,0.9640811605204519,0.9653554326647403,True
1995-04-22,52,0.5961538461538461,0.96875,0.863239672524747,0.9339225083740921,0.9652683342172753,0.9706508254629919,True
1995-04-23,59,0.5423728813559322,0.9696969696969697,0.8543734932143505,0.9333672053417721,0.9673558345760397,0.9730872774576161,True
1995-04-24,63,0.5238095238095238,0.9705882352941176,0.843091036514522,0.9318033466944579,0.9700258681803754,0.945293016193625,True
1995-04-25,67,0.5074626865671642,0.9714285714285714,0.8282624023906893,0.9268300288382337,0.9698729688986286,0.9700874558209429,True
1995-04-26,69,0.5507246376811594,0.9743589743589743,0.8802747642866424,0.936650864672116,0.9701979218278921,0.9765995029195719,True
1995-04-27,72,0.5416666666666666,0.975,0.8583245519142795,0.9303059345110367,0.9723242666598264,0.9758423925080449,True
1995-04-28,77,0.5324675324675324,0.9761904761904762,0.8574996879684457,0.9431705557505796,0.9733750747800075,0.9775599622277089,True
