date,n,naive,resolved,delay_adjusted,competing_risks,kaplan_meier,parametric_mixture,parametric_mixture_success
2014-07-26,1,0.0,,,,,,False
2014-08-03,3,0.0,,1e-12,,,,False
2014-08-04,4,0.0,,1e-12,,,,False
2014-08-07,6,0.0,,1e-12,,,,False
2014-08-10,7,0.0,,1e-12,,,,False
2014-08-11,10,0.1,1.0,0.30562902086790683,1.0,1.0,0.9998988562109641,True
2014-08-12,11,0.09090909090909091,1.0,0.2503331925488409,1.0,1.0,0.9999546021312976,True
2014-08-13,16,0.0625,1.0,0.2128259240981885,1.0,1.0,0.9999546021312976,True
2014-08-14,19,0.10526315789473684,1.0,0.3377845614177464,1.0,1.0,0.18808617998428087,True
2014-08-15,21,0.19047619047619047,1.0,0.5498624444780303,1.0,1.0,0.522692377671468,True
2014-08-16,23,0.21739130434782608,1.0,0.5781786424100634,1.0,1.0,0.3887485114606023,True
2014-08-17,24,0.3333333333333333,1.0,0.7949564369264622,1.0,1.0,0.8384866210250643,True
2014-08-18,27,0.2962962962962963,1.0,0.7019115089935474,1.0,1.0,0.777547221977512,True
2014-08-19,29,0.3448275862068966,1.0,0.7731543444243746,1.0000000000000002,1.0,0.9999546021312976,True
2014-08-20,34,0.35294117647058826,1.0,0.8281811329661883,0.9999999999999999,1.0,0.9999546021312976,True
2014-08-21,35,0.34285714285714286,1.0,0.7292888641675821,0.9999999999999999,1.0,0.9999546021312976,True
2014-08-22,37,0.35135135135135137,1.0,0.7134440682772057,1.0000000000000002,1.0,0.9999546021312976,True
2014-08-23,39,0.38461538461538464,1.0,0.749560019712798,0.8933130243618328,1.0,0.9999546021312976,True
2014-08-24,41,0.36585365853658536,1.0,0.6876104661916884,0.8892187349631697,1.0,0.9999546021312976,True
2014-08-25,42,0.40476190476190477,1.0,0.7194154425680713,0.8795587494402148,1.0,0.9999546021312976,True
2014-08-26,45,0.4,1.0,0.7105351285036624,0.8780191508034645,1.0,0.9999546021312976,True
2014-08-29,46,0.4782608695652174,1.0,0.7269413981232593,0.6947428359629234,1.0,0.9999546021312976,True
2014-08-30,47,0.5531914893617021,1.0,0.8205842715818231,0.780584349626786,1.0,0.9999546021312976,True
2014-08-31,48,0.5625,1.0,0.8164261487548852,0.7861707301352924,1.0,0.9999546021312976,True
2014-09-02,49,0.6530612244897959,1.0,0.8983746784202888,0.8492450238948528,1.0,0.9999546021312976,True
2014-09-03,50,0.64,1.0,0.8690308638763109,0.8244963640427203,1.0,0.9999546021312976,True
2014-09-04,53,0.6037735849056604,1.0,0.8418040977638577,0.8012935538189199,1.0,0.9999546021312976,True
2014-09-05,55,0.5818181818181818,1.0,0.8113204480511825,0.7626229261827837,1.0,0.9999546021312976,True
2014-09-06,57,0.5789473684210527,1.0,0.8066009562365829,0.7501032230844242,1.0,0.9999546021312976,True
2014-09-08,58,0.5862068965517241,1.0,0.7771962567996309,0.732951191443538,1.0,0.9999546021312976,True
2014-09-09,59,0.6101694915254238,1.0,0.799190481916257,0.7411963487486918,1.0,0.9999546021312976,True
2014-09-11,60,0.6333333333333333,1.0,0.8010284906115551,0.7328198724078469,1.0,0.9999546021312976,True
2014-09-12,61,0.6229508196721312,1.0,0.7823263076628904,0.7259083865868419,1.0,0.9999546021312976,True
2014-09-13,62,0.6129032258064516,1.0,0.7645722069409661,0.7193105329509514,1.0,0.9999546021312976,True
2014-09-14,63,0.6031746031746031,1.0,0.7477286098402157,0.7155705902895095,1.0,0.9999546021312976,True
2014-09-18,64,0.640625,1.0,0.7511766387636523,0.7491046634724237,1.0,0.9999546021312976,True
2014-09-19,65,0.6307692307692307,1.0,0.739713506312987,0.7403184445788802,1.0,0.9999546021312976,True
2014-09-20,66,0.6212121212121212,1.0,0.7282707568928157,0.7273164403054011,1.0,0.9999546021312976,True
2014-09-24,67,0.6268656716417911,1.0,0.7083401679806421,0.6952544328508667,1.0,0.9999546021312976,True
2014-10-04,68,0.6176470588235294,1.0,0.6579005998087233,0.6441051091175162,1.0,0.916224274088253,True
